"","school","opponent","cbsRankDiff","cbsConfRankDiff","rushTdsAvgLagDiff","rushingYardsAvgLagDiff","totalYardsAvgLagDiff","yardsPerPassAvgLagDiff","penaltyYardsAvgLagDiff","turnoversAvgLagDiff","completionPercentAvgLagDiff","rushTdsLagDiff","rushingYardsLagDiff","totalYardsLagDiff","yardsPerPassLagDiff","penaltyYardsLagDiff","turnoversLagDiff","completionPercentLagDiff","spreadOpen","moneyline","overUnderOpen","week","pointsDiff"
"143","Southern Mississippi","Florida State",100,45.0444444444444,-1,10,-53,-1.7,-29,0,0.024,-1,10,-53,-1.7,-29,0,0.024193548387097,28,1600,52,2,-53
"144","Florida State","Southern Mississippi",-100,-45.0444444444444,1,-10,53,1.7,29,0,-0.024,1,-10,53,1.7,29,0,-0.024193548387097,-28,-10000,52,2,53
"145","Purdue","Virginia Tech",-19,6.7190476190476,1,0,-5,-0.0999999999999996,-4,0,-0.033,1,0,-5,-0.0999999999999996,-4,0,-0.033333333333333,0,110,50,2,7
"146","Virginia Tech","Purdue",19,-6.7190476190476,-1,0,5,0.0999999999999996,4,0,0.033,-1,0,5,0.0999999999999996,4,0,0.033333333333333,0,-130,50,2,-7
"147","Texas A&M","Miami",19,-3.9714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5,-210,49.5,2,-15
"148","Miami","Texas A&M",-19,3.9714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,175,49.5,2,15
"149","Appalachian State","North Carolina",55,45.0444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,525,61,2,-6
"150","North Carolina","Appalachian State",-55,-45.0444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.5,-800,61,2,6
"151","James Madison","Virginia",-37,45.0444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-250,44,2,1
"152","Virginia","James Madison",37,-45.0444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,210,44,2,-1
